"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 20:21:25 EEST 2024","Tue Oct 15 20:21:25 EEST 2024","282","Default Suite","Wali's rest","ListTest","ListTest","getNewList","getNewList",""
"passed","Tue Oct 15 20:21:25 EEST 2024","Tue Oct 15 20:21:25 EEST 2024","274","Default Suite","Wali's rest","ListTest","ListTest","updateList","updateList",""
"passed","Tue Oct 15 20:21:27 EEST 2024","Tue Oct 15 20:21:27 EEST 2024","637","Default Suite","Wali's rest","BoardTest","BoardTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:21 EEST 2024","Tue Oct 15 20:21:21 EEST 2024","313","Default Suite","Wali's rest","CardTest","CardTest","getNewCard","getNewCard",""
"passed","Tue Oct 15 20:21:21 EEST 2024","Tue Oct 15 20:21:22 EEST 2024","584","Default Suite","Wali's rest","CardTest","CardTest","deleteCard","deleteCard",""
"passed","Tue Oct 15 20:21:22 EEST 2024","Tue Oct 15 20:21:22 EEST 2024","341","Default Suite","Wali's rest","CardTest","CardTest","getDeletedCard","getDeletedCard",""
"passed","Tue Oct 15 20:21:31 EEST 2024","Tue Oct 15 20:21:31 EEST 2024","318","Default Suite","Wali's rest","LabelTest","LabelTest","createLabel","createLabel",""
"passed","Tue Oct 15 20:21:30 EEST 2024","Tue Oct 15 20:21:30 EEST 2024","389","Default Suite","Wali's rest","BoardTest","BoardTest","getDeletedBoard","getDeletedBoard",""
"passed","Tue Oct 15 20:21:30 EEST 2024","Tue Oct 15 20:21:31 EEST 2024","682","Default Suite","Wali's rest","LabelTest","LabelTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:20 EEST 2024","Tue Oct 15 20:21:21 EEST 2024","333","Default Suite","Wali's rest","CardTest","CardTest","getCard","getCard",""
"passed","Tue Oct 15 20:21:28 EEST 2024","Tue Oct 15 20:21:28 EEST 2024","456","Default Suite","Wali's rest","BoardTest","BoardTest","updateBoard","updateBoard",""
"passed","Tue Oct 15 20:21:19 EEST 2024","Tue Oct 15 20:21:20 EEST 2024","353","Default Suite","Wali's rest","CardTest","CardTest","createList","createList",""
"passed","Tue Oct 15 20:21:31 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","340","Default Suite","Wali's rest","LabelTest","LabelTest","updateLabel","updateLabel",""
"passed","Tue Oct 15 20:21:24 EEST 2024","Tue Oct 15 20:21:24 EEST 2024","467","Default Suite","Wali's rest","ListTest","ListTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:32 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","435","Default Suite","Wali's rest","LabelTest","LabelTest","deleteLabel","deleteLabel",""
"passed","Tue Oct 15 20:21:32 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","253","Default Suite","Wali's rest","LabelTest","LabelTest","getNewLabel","getNewLabel",""
"passed","Tue Oct 15 20:21:22 EEST 2024","Tue Oct 15 20:21:23 EEST 2024","1231","Default Suite","Wali's rest","CardTest","CardTest","deleteBoard","deleteBoard",""
"passed","Tue Oct 15 20:21:21 EEST 2024","Tue Oct 15 20:21:21 EEST 2024","358","Default Suite","Wali's rest","CardTest","CardTest","updateCard","updateCard",""
"passed","Tue Oct 15 20:21:34 EEST 2024","Tue Oct 15 20:21:34 EEST 2024","248","Default Suite","Wali's rest","LabelTest","LabelTest","getDeletedBoard","getDeletedBoard",""
"passed","Tue Oct 15 20:21:24 EEST 2024","Tue Oct 15 20:21:24 EEST 2024","316","Default Suite","Wali's rest","ListTest","ListTest","createList","createList",""
"passed","Tue Oct 15 20:21:26 EEST 2024","Tue Oct 15 20:21:27 EEST 2024","238","Default Suite","Wali's rest","ListTest","ListTest","getDeletedList","getDeletedList",""
"passed","Tue Oct 15 20:21:24 EEST 2024","Tue Oct 15 20:21:25 EEST 2024","272","Default Suite","Wali's rest","ListTest","ListTest","getList","getList",""
"passed","Tue Oct 15 20:21:28 EEST 2024","Tue Oct 15 20:21:30 EEST 2024","1218","Default Suite","Wali's rest","BoardTest","BoardTest","deleteBoard","deleteBoard",""
"passed","Tue Oct 15 20:21:17 EEST 2024","Tue Oct 15 20:21:19 EEST 2024","2716","Default Suite","Wali's rest","CardTest","CardTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:20 EEST 2024","Tue Oct 15 20:21:20 EEST 2024","436","Default Suite","Wali's rest","CardTest","CardTest","createCard","createCard",""
"passed","Tue Oct 15 20:21:25 EEST 2024","Tue Oct 15 20:21:26 EEST 2024","1182","Default Suite","Wali's rest","ListTest","ListTest","deleteBoard","deleteBoard",""
"passed","Tue Oct 15 20:21:27 EEST 2024","Tue Oct 15 20:21:28 EEST 2024","281","Default Suite","Wali's rest","BoardTest","BoardTest","getBoard","getBoard",""
"passed","Tue Oct 15 20:21:33 EEST 2024","Tue Oct 15 20:21:34 EEST 2024","1189","Default Suite","Wali's rest","LabelTest","LabelTest","deleteBoard","deleteBoard",""
"passed","Tue Oct 15 20:21:28 EEST 2024","Tue Oct 15 20:21:28 EEST 2024","262","Default Suite","Wali's rest","BoardTest","BoardTest","getNewBoard","getNewBoard",""
"passed","Tue Oct 15 20:21:23 EEST 2024","Tue Oct 15 20:21:24 EEST 2024","238","Default Suite","Wali's rest","CardTest","CardTest","getDeletedBoard","getDeletedBoard",""
"passed","Tue Oct 15 20:21:32 EEST 2024","Tue Oct 15 20:21:33 EEST 2024","246","Default Suite","Wali's rest","LabelTest","LabelTest","getDeletedLabel","getDeletedLabel",""
"passed","Tue Oct 15 20:21:31 EEST 2024","Tue Oct 15 20:21:31 EEST 2024","302","Default Suite","Wali's rest","LabelTest","LabelTest","getLabel","getLabel",""
